hora,P_disponivel_kw_816,P_gerada_kw_816,rho_816,P_disponivel_kw_824,P_gerada_kw_824,rho_824,P_disponivel_kw_828,P_gerada_kw_828,rho_828,P_disponivel_kw_830,P_gerada_kw_830,rho_830,P_disponivel_kw_850,P_gerada_kw_850,rho_850,P_disponivel_kw_832,P_gerada_kw_832,rho_832
0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
3,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
5,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
6,15.625241782068514,15.625241782068514,0.0,18.7503236717592,18.7503236717592,0.0,12.500217712144039,12.500217712144039,0.0,16.250349249231203,16.250349249231203,0.0,11.250173385025839,11.250173385025839,0.0,14.375428037447017,14.375428037447017,0.0
7,46.87517293313687,18.45098129440861,0.6063804949131005,56.25022149623055,22.89247598185787,0.5930242256071729,37.5001485947879,15.440410846628662,0.5882573156220254,48.75022589866941,20.167956477106276,0.5863002133389379,33.75012402307615,13.94238198154212,0.5868938797922512,43.12526281682057,17.91579407231957,0.5845637849881378
8,85.41699505272715,37.56761775806348,0.5601856402268832,102.50042165431773,46.48802066844647,0.5464601577318092,68.3336153932407,31.32110223662695,0.5416442544635274,88.83371833125774,40.908993349802074,0.5394879442395705,61.50023552645001,28.281434543463103,0.5401409973975125,78.58368117385929,36.33759239545858,0.537593579741815
9,109.37601279944892,43.72766993854396,0.6002078251739384,131.2513104011365,54.35184906592557,0.5858947656025538,87.50087687543923,36.654395720610395,0.5810967748310891,113.75120235186344,47.91457774382409,0.5787773396077635,78.75072638315129,33.12173868563373,0.5794103331570455,100.62608235759473,42.59846707204036,0.5766656669920738
10,122.91832369883545,50.066127637686876,0.5926877998447505,147.50215533499062,62.18674847771509,0.5784010378394255,98.33477586001081,41.96128991752575,0.5732812282454337,127.83531244100553,54.8563777997601,0.5708823720238878,88.50118842720246,37.91587302304923,0.5715777647732647,113.08509792974135,48.767482843147256,0.568754017581872
11,125.00095756379028,69.7779202415073,0.4417808730390871,150.0012360649805,85.88652535403685,0.42742783634231757,100.00082642930457,57.77109104288685,0.4222938166887596,130.00109918460572,75.40997705361781,0.41992809086406924,90.00068675590128,52.147357530041326,0.4205892949278709,115.00090933823165,66.96024538342456,0.41774148177867315
12,114.58396751157912,73.25427116336476,0.3606934981641347,137.50081135936608,89.8587422032793,0.3464856896577153,91.66720959058922,60.364186532909834,0.34148545934113966,119.16742041941329,78.75325744217942,0.33913762187900504,82.50045481590729,54.46406388824873,0.3398331297206466,105.41738603112458,69.89291424168084,0.3369886226744855
13,91.66698433660292,67.08890665925114,0.2681235150590945,110.00040437336236,82.0381731964296,0.2542011231514019,73.33360439959276,55.050603905401225,0.2493126767373601,95.33373703702709,71.77545922281024,0.24711369294400945,66.00022781748922,49.64893112716678,0.24774602393318845,84.3337890167856,63.664685836895444,0.24508674684841877
14,62.500202118722115,51.13910996296987,0.1817768461874313,75.00025987625192,62.38165547613846,0.16824743054953395,50.0001744099407,41.82012498421483,0.1636003719919011,65.00026920662667,54.50384589212068,0.1614827069827854,45.00014494785671,37.704928188569106,0.16211536453633152,57.500322281619205,48.32321136596214,0.15960094169459418
15,28.124947760386952,28.124947760386952,0.0,33.74993264255153,33.74993264255153,0.0,22.499954825237403,22.499954825237403,0.0,29.24993233697559,29.24993233697559,0.0,20.249962539178874,20.249962539178874,0.0,25.874924472813973,25.874924472813973,0.0
16,3.1250322945963553,3.1250322945963553,0.0,3.7500421409588798,3.7500421409588798,0.0,2.500028276790707,2.500028276790707,0.0,3.2500425487395788,3.2500425487395788,0.0,2.2500231591705777,2.2500231591705777,0.0,2.8750471329309972,2.8750471329309972,0.0
17,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
18,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
19,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
20,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
21,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
22,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
23,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
